Curve,Resonance_Wavelength_nm,Baseline_Intensity,HalfMax_Intensity,FWHM_nm,Left_Bound_nm,Right_Bound_nm
0%,644.28,99.773,88.196,109.24864158829678,596.9962068965517,706.2448484848485
5%,660.06,101.396,88.84649999999999,120.92629310344819,608.0862068965517,729.0124999999999
10%,671.86,100.678,87.726,119.9168875192604,619.2622033898306,739.179090909091
15%,690.9,99.095,86.3425,122.35905660377364,636.5009433962264,758.86
20%,709.02,101.977,86.3535,167.0742613636363,639.224375,806.2986363636363
25%,727.17,98.405,84.286,155.73296428571427,658.83775,814.5707142857143
Unknow 1,666.06,99.293,85.10900000000001,143.40716803760301,602.2089189189188,745.6160869565218
Unknow 2,713.19,100.988,86.249,154.34542145593866,644.9438888888889,799.2893103448275
